koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_jmag_err,koi_hmag,koi_hmag_err,koi_kmag,koi_kmag_err,koi_count,koi_num_transits,koi_max_sngle_ev,koi_max_mult_ev,koi_bin_oedp_sig,koi_ldm_coeff2,koi_ldm_coeff1,koi_model_snr,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_period,koi_period_err1,koi_period_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_incl,koi_teq,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err,koi_tce_plnt_num,koi_time0,koi_time0_err1,koi_time0_err2,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_insol,koi_insol_err1,koi_insol_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_score,ExoplanetCandidate
12.626,12.23,12.127,12.103,11.32,0.02,11.051,0.019,10.964,0.015,1,181,3.6451838,11.422914,0.3419,0.3036,0.3098,14.4,135.31257,0.00843,-0.00843,1.01,0.2,-0.31,0.0762,0.013,0.44,-0.013,6.315,0.242,-0.242,34.5,2.8,-2.8,7.49133777,8.235e-05,-8.235e-05,0.005396,0.000315,-0.000212,9.13,1.3,-1.3,89.92,1291.0,6177.0,168.0,-168.0,3.993,0.266,-0.114,-0.36,0.35,-0.3,1.71,0.347,-0.52,1.051,0.202,-0.151,0.981,19.647785,1.8e-05,45.78125,0.00018,0.02,0.67,-0.09,0.66,1e-06,2.5e-05,2e-06,2.5e-05,-0.57,0.35,0.33,0.33,0.66,0.34,-0.54,0.35,0.37,0.33,0.66,0.34,1,2454968.313,0.00843,-0.00843,0,0,0,0,656.15,400.89,-371.57,0.2565,0.03718,-0.08915,0.988,1
15.221,14.728,14.586,14.509,13.604,0.021,13.197,0.029,13.195,0.021,1,36,8.394553,28.735064,0.0424,0.2979,0.3238,35.5,158.30491,0.00325,-0.00325,2.45,0.68,-0.24,0.2159,0.654,0.003,-0.506,5.941,0.104,-0.104,695.2,22.4,-22.4,38.505224,0.0001776,-0.0001776,0.025468,0.003671,-0.001238,39.1,14.5,-14.5,89.04,532.0,5974.0,161.0,-161.0,4.504,0.062,-0.188,-0.42,0.3,-0.3,0.881,0.243,-0.087,0.904,0.11,-0.1,0.0,18.777507,1.4e-05,47.56844,0.00012,-0.9,0.51,-0.5,0.42,0.00018,0.00035,0.00066,0.00029,0.23,0.19,0.14,0.17,0.27,0.18,0.16,0.19,0.25,0.18,0.3,0.18,1,2454991.305,0.00325,-0.00325,0,0,0,0,18.98,15.38,-5.16,0.76267,0.85,-0.04729,1.0,1
16.066,15.449,15.258,15.165,14.191,0.028,13.875,0.033,13.806,0.046,1,21,8.166053,28.120026,0.7319,0.2676,0.3928,35.0,178.40847,0.00403,-0.00403,3.54,0.93,-0.31,0.3017,0.842,0.059,-0.582,5.907,0.11,-0.11,1372.6,43.2,-43.2,62.5613879,0.0003187,-0.0003187,0.038618,0.000406,-0.0047,49.2,22.1,-22.1,89.02,417.0,5662.0,169.0,-152.0,4.56,0.042,-0.168,-0.12,0.3,-0.3,0.84,0.22,-0.073,0.937,0.094,-0.115,0.333,19.654405,1.1e-05,45.30594,0.00014,-0.03,0.41,-0.65,0.5,-0.00011,0.00057,0.0005,0.0007,0.22,0.11,0.1,0.15,0.24,0.13,0.12,0.12,0.01,0.15,0.12,0.12,1,2455011.408,0.00403,-0.00403,0,0,0,0,7.13,5.64,-1.8,0.57416,2.58678,-0.27413,1.0,1
13.791,13.421,13.311,13.31,12.414,0.023,12.151,0.018,12.121,0.015,3,123,3.133254,8.874426,0.4411,0.2676,0.3928,11.2,135.15208,0.00674,-0.00674,1.07,0.15,-0.19,0.0905,0.811,0.175,-0.591,2.341,0.214,-0.214,71.2,7.5,-7.5,10.42317343,8.775e-05,-8.775e-05,0.008625,0.004353,-0.000956,20.41,9.5,-9.5,87.72,901.0,5767.0,115.0,-104.0,4.287,0.162,-0.108,-0.14,0.15,-0.15,1.135,0.165,-0.202,0.91,0.078,-0.052,0.004,19.244029,3.1e-05,43.36754,0.00035,-0.8,1.2,-1.9,1.3,6.7e-05,8.6e-05,0.000157,8.8e-05,0.1,1.2,0.14,0.98,0.2,1.0,0.1,1.2,0.43,0.98,0.5,1.0,2,2454968.152,0.00674,-0.00674,0,0,0,0,155.7,65.35,-57.87,1.48008,6.92019,-1.42574,1.0,1
16.956,15.977,15.711,15.566,14.595,0.04,14.105,0.042,13.943,0.063,1,19,4.8291984,12.88854,0.1487,0.1828,0.5324,15.2,553.06646,0.00339,-0.00339,7.45,1.99,-1.22,0.1291,0.973,69.79,-1.21,2.044,0.171,-0.171,2318.0,185.0,-185.0,18.22211768,8.404e-05,-8.404e-05,0.071242,69.73299,-1.157925,30.6,15.3,-15.3,88.18,620.0,5162.0,181.0,-181.0,4.411,0.144,-0.252,0.32,0.15,-0.3,0.958,0.255,-0.157,0.862,0.073,-0.06,0.0,19.6243251,1e-05,46.500941,4.8e-05,-0.66,0.37,-2.95,0.17,-0.0008,0.0015,-0.0008,0.0018,-0.73,0.24,1.35,0.18,1.53,0.2,-2.33,0.24,-0.99,0.18,2.53,0.23,1,2455386.066,0.00339,-0.00339,0,0,0,0,34.99,29.4,-13.78,1.63499,441.09991,-0.25105,0.999,1
14.789,14.159,13.969,13.879,12.918,0.022,12.546,0.022,12.472,0.024,1,4,134.10854,144.07951,0.0,0.2327,0.4526,91.1,295.76934,0.00307,-0.00307,7.76,2.14,-1.43,0.9511,0.002,0.177,-0.002,16.637,0.113,-0.113,5622.7,64.9,-64.9,359.047933,0.003846,-0.003846,0.067781,0.000589,-0.000372,176.05,2.1,-2.1,90.0,260.0,5609.0,169.0,-152.0,4.346,0.162,-0.198,-0.04,0.3,-0.3,1.048,0.29,-0.193,0.889,0.114,-0.076,0.0,19.402243,7.7e-06,38.704358,5.7e-05,4.17,0.32,1.61,0.2,-0.0204,0.002,-0.0114,0.0016,4.29,0.56,3.4,1.1,5.5,0.81,4.39,0.6,3.5,1.1,5.6,0.82,1,2455128.769,0.00307,-0.00307,1,0,0,1,1.08,0.89,-0.44,0.80064,0.00947,-0.06428,0.0,0
15.943,15.19,14.893,14.732,13.727,0.024,13.22,0.027,13.029,0.022,1,31,702.8606,2291.9294,0.431,0.2745,0.4228,180.9,137.607894,0.00094,-0.00094,23.48,1.08,-1.39,0.1634,0.726,0.575,-0.086,7.3736,0.0688,-0.0688,136386.0,931.0,-931.0,32.45541269,3.612e-05,-3.612e-05,0.395929,0.439383,-0.035192,40.1,11.5,-11.5,88.96,392.0,4869.0,144.0,-144.0,4.71,0.049,-0.025,-1.42,0.3,-0.3,0.543,0.025,-0.032,0.552,0.036,-0.019,0.0,18.97953601,1.1e-07,40.4986229,1.2e-06,-0.0817,0.0044,0.0104,0.0041,0.0,0.16,0.0,0.22,0.016,0.071,0.011,0.072,0.02,0.076,0.154,0.071,0.082,0.071,0.174,0.072,1,2454970.608,0.00094,-0.00094,0,1,0,0,5.55,1.28,-1.19,1.15766,0.3326,-0.09511,0.0,0
15.248,14.817,14.72,14.71,13.819,0.024,13.502,0.026,13.469,0.037,2,413,93.92894,1341.4701,0.3667,0.2891,0.3589,1429.9,137.4817205,6.5e-05,-6.5e-05,16.91,2.61,-3.92,0.0453,0.065,0.081,-0.044,3.45188,0.00218,-0.00218,10091.4,7.9,-7.9,3.268695042,2.62e-07,-2.62e-07,0.091563,1.7e-05,-7.3e-05,7.9079,0.0633,-0.0633,89.53,1597.0,5927.0,80.0,-80.0,4.046,0.182,-0.098,0.14,0.15,-0.15,1.691,0.261,-0.392,1.161,0.132,-0.096,0.0,19.66837491,2.5e-07,46.9560419,3.2e-06,-0.1138,0.0092,0.151,0.012,0.00049,0.00023,0.00266,0.00033,-0.008,0.067,-0.02,0.067,0.021,0.067,-0.048,0.067,-0.11,0.067,0.119,0.067,1,2454970.482,6.5e-05,-6.5e-05,0,0,0,0,1539.0,624.72,-678.87,0.87558,0.00701,-0.00031,0.999,1
15.873,15.258,15.031,14.921,13.915,0.021,13.554,0.031,13.336,0.03,1,0,1478.2789,3682.9192,-1.0,0.2665,0.398,3168.8,142.8575773,2.44e-05,-2.44e-05,52.74,9.69,-5.68,0.3065,0.587,0.005,-0.02,4.09296,0.00193,-0.00193,330180.0,126.0,-126.0,70.516233809,2.317e-06,-2.317e-06,0.612125,0.00167,-0.011234,197.62,2.9,-2.9,89.83,390.0,5511.0,165.0,-148.0,4.531,0.076,-0.114,-0.42,0.3,-0.3,0.789,0.145,-0.085,0.773,0.103,-0.055,0.0,19.29995253,5.7e-08,46.92860814,5.6e-07,0.2408,0.0021,-0.1507,0.002,0.0,0.1,0.01,0.15,-0.002,0.067,-0.008,0.067,0.008,0.067,0.136,0.067,0.005,0.068,0.136,0.067,1,2454975.858,2.44e-05,-2.44e-05,0,1,0,0,5.47,3.16,-1.56,29.36026,0.43144,-0.39389,0.0,0
16.402,15.819,15.678,15.604,14.591,0.029,14.246,0.047,14.193,0.068,1,912,4.28444,12.792149,0.5163,0.2868,0.3588,20.3,132.21522,0.00781,-0.00781,1.48,0.44,-0.15,0.023,0.528,0.126,-0.528,2.152,0.49,-0.49,224.2,16.9,-16.9,1.245353252,8.433e-06,-8.433e-06,0.014124,0.000214,-0.002514,3.89,1.8,-1.8,82.2,1704.0,5982.0,189.0,-210.0,4.493,0.05,-0.2,-0.04,0.25,-0.3,0.96,0.285,-0.095,1.047,0.126,-0.139,0.0,19.573769,2.2e-05,42.05865,0.00019,-2.9,0.86,-1.27,0.68,0.00076,0.00013,0.00035,0.00011,-12.4,1.1,-5.95,0.4,13.8,1.1,-4.8,1.1,-2.02,0.36,5.2,1.1,1,2454965.215,0.00781,-0.00781,0,0,0,1,1996.55,1806.33,-591.51,0.72056,0.32469,-0.58138,0.0,0
12.776,12.246,12.138,12.035,11.137,0.021,10.857,0.017,10.798,0.017,1,24,8.274327,24.313354,0.1805,0.2931,0.3424,75.0,169.90401,0.00774,-0.00774,93.55,17.27,-40.33,0.3351,1.246,31.11,-0.036,22.482,0.379,-0.379,1266.8,19.7,-19.7,58.3437362,0.0005201,-0.0005201,0.284985,31.06437,-0.035466,6.33,3.2,-3.2,78.65,779.0,5896.0,176.0,-176.0,3.65,0.36,-0.12,-0.06,0.3,-0.3,3.006,0.555,-1.296,1.472,0.17,-0.397,0.162,20.0014197,2.5e-06,46.090793,1.9e-05,0.114,0.093,0.047,0.068,0.0001,0.00018,6e-05,0.00022,0.16,0.28,-0.02,0.14,0.17,0.28,0.13,0.3,0.08,0.13,0.15,0.3,1,2455002.904,0.00774,-0.00774,1,0,0,0,87.03,50.35,-62.08,0.00141,0.37847,-0.00016,0.0,0
16.1,15.554,15.382,15.266,14.326,0.035,13.911,0.042,13.809,0.048,1,621,39.06655,541.8951,0.0,0.2865,0.3556,505.6,170.307565,0.000115,-0.000115,33.46,8.5,-2.83,0.0267,1.276,0.115,-0.092,2.40641,0.00537,-0.00537,8079.2,12.8,-12.8,1.736952453,2.63e-07,-2.63e-07,0.387394,0.109232,-0.08495,3.278,0.136,-0.136,67.09,1395.0,5805.0,157.0,-174.0,4.564,0.053,-0.168,-0.52,0.3,-0.3,0.791,0.201,-0.067,0.836,0.093,-0.077,0.0,19.03563762,8.6e-07,48.2852105,7.4e-06,-0.111,0.031,0.002,0.027,0.00302,0.00057,-0.00142,0.00081,-0.249,0.072,0.147,0.078,0.289,0.079,-0.257,0.072,0.099,0.077,0.276,0.076,1,2455003.308,0.000115,-0.000115,0,1,0,0,891.96,668.95,-230.35,0.2208,0.00917,-0.01837,0.0,0
17.848,17.219,17.035,16.889,15.846,0.064,15.573,0.099,15.12,0.143,1,185,72.32311,652.76215,0.1284,0.2889,0.3511,192.4,134.28062,0.00112,-0.00112,24.15,7.53,-3.76,0.0438,0.011,0.178,-0.011,2.8758,0.02,-0.02,54546.0,337.0,-337.0,3.351573993,3.36e-06,-3.36e-06,0.21411,0.001444,-0.000505,10.832,0.149,-0.149,89.94,1282.0,5984.0,189.0,-210.0,4.408,0.09,-0.195,-0.12,0.3,-0.3,1.033,0.322,-0.161,0.995,0.153,-0.126,0.0,19.70173072,1.5e-07,46.4576742,2.8e-06,-0.6427,0.0057,1.923,0.01,-0.008,0.017,0.057,0.025,0.57,0.2,-3.9,0.49,3.94,0.5,-0.263,0.071,-0.156,0.073,0.306,0.072,1,2454967.281,0.00112,-0.00112,0,1,0,0,638.3,605.42,-244.02,2.14023,0.02941,-0.13441,0.015,0
12.517,12.078,11.989,,11.215,0.022,11.031,0.028,10.967,0.021,1,17,10.735117,32.46188,0.2034,0.3016,0.3403,54.3,160.86387,0.00515,-0.00515,4.63,0.87,-0.44,0.4039,0.911,0.045,-0.531,14.175,0.764,-0.764,762.3,16.1,-16.1,81.4160138,0.0004882,-0.0004882,0.030244,0.000213,-0.004663,21.2,10.5,-10.5,87.53,522.0,6352.0,113.0,-139.0,4.267,0.063,-0.117,0.32,0.1,-0.2,1.401,0.263,-0.132,1.323,0.098,-0.088,0.004,19.4170434,2.1e-06,48.84696,2.2e-05,0.09,0.075,0.134,0.08,-3.1e-05,5.7e-05,-8.8e-05,6.8e-05,0.04,0.11,0.36,0.26,0.36,0.26,0.0,0.12,0.45,0.23,0.45,0.23,1,2454993.864,0.00515,-0.00515,0,0,0,0,17.53,9.01,-4.37,0.02705,0.24237,-0.01719,0.899,1
12.505,11.877,11.672,11.566,10.587,0.021,10.212,0.017,10.122,0.017,1,5,4.9133425,7.372084,0.3943,0.2337,0.4535,10.4,314.2081,0.0579,-0.0579,0.64,0.07,-0.07,0.7735,0.052,0.4,-0.052,16.18,1.4,-1.4,72.2,8.4,-8.4,295.06066,0.02829,-0.02829,0.007668,0.000543,-0.000546,140.2,66.5,-66.5,89.98,233.0,5332.0,160.0,-144.0,4.524,0.097,-0.06,-0.48,0.35,-0.25,0.762,0.087,-0.087,0.708,0.099,-0.038,0.523,19.129945,4.4e-05,45.14159,0.00046,-0.7,1.7,-2.0,1.7,3e-05,0.00011,7e-05,0.00011,-2.11,0.85,-0.6,2.9,2.2,1.7,-2.26,0.75,-1.6,3.0,2.8,2.3,1,2455147.208,0.0579,-0.0579,0,0,0,0,0.7,0.28,-0.21,0.59823,1.41914,-0.25436,0.665,1
15.712,15.161,15.043,14.96,14.122,0.044,13.899,0.048,13.79,0.05,1,41,9.712358,40.305756,0.8733,0.3022,0.3344,42.3,143.46464,0.00272,-0.00272,39.49,12.52,-4.17,0.1888,1.273,69.31,-3.745,3.545,0.102,-0.102,2282.5,64.7,-64.7,27.36432337,8.439e-05,-8.439e-05,0.326675,69.29306,-3.729197,22.1,11.1,-11.1,86.7,659.0,6167.0,194.0,-259.0,4.428,0.052,-0.208,0.21,0.2,-0.35,1.107,0.351,-0.117,1.2,0.139,-0.17,0.0,19.945751,5.1e-06,40.483703,5.4e-05,3.74,0.21,-2.4,0.2,-0.00597,0.00062,0.00094,0.00069,5.38,0.67,-2.32,0.56,5.85,0.82,5.93,0.63,-2.84,0.53,6.57,0.78,1,2454976.465,0.00272,-0.00272,0,1,1,0,44.5,42.88,-14.52,0.27362,117.67107,-0.93097,0.0,0
15.472,14.814,14.64,14.554,13.568,0.029,13.215,0.027,13.123,0.027,1,131,5.390547,15.078204,0.9587,0.2327,0.4526,18.6,135.24121,0.00442,-0.00442,1.49,0.28,-0.11,0.0888,0.729,0.225,-0.511,2.86,0.162,-0.162,285.7,17.9,-17.9,10.06478627,5.283e-05,-5.283e-05,0.016687,0.003778,-0.001498,19.06,9.1,-9.1,87.81,729.0,5438.0,163.0,-163.0,4.574,0.032,-0.128,0.02,0.25,-0.3,0.82,0.151,-0.065,0.92,0.065,-0.101,0.0,19.264343,1.7e-05,44.35279,0.0002,-11.04,0.67,-22.4,0.71,0.00319,0.00021,0.00683,0.00023,-0.05,0.71,0.0,1.3,0.06,0.87,-7.84,0.49,-7.4,1.7,10.8,1.5,1,2454968.241,0.00442,-0.00442,0,1,1,1,66.74,38.57,-16.65,1.29391,2.46945,-1.18379,0.0,0
